item;codigo;titulo;revisao;arquivo_pdf;carimbo_img
1;P70069-406-DW-1430-002;Fundações - Planta Geral de Locação de Estacas (Rev 1);1;LOCACAO_E_ESTACAS/P70069-406-DW-1430-002_1.pdf;LOCACAO_E_ESTACAS/_carimbos_extraidos/P70069-406-DW-1430-002_1_carimbo.png
2;P70069-406-DW-1711-121;Estrutura - Forma e Armação do Bloco de Coroamento (Rev 4);4;LOCACAO_E_ESTACAS/P70069-406-DW-1711-121_4.pdf;LOCACAO_E_ESTACAS/_carimbos_extraidos/P70069-406-DW-1711-121_4_carimbo.png
3;P70069-406-DW-2054-101;Arquitetura - Planta Baixa da Portaria Principal (Rev 3);3;LOCACAO_E_ESTACAS/P70069-406-DW-2054-101_3.pdf;LOCACAO_E_ESTACAS/_carimbos_extraidos/P70069-406-DW-2054-101_3_carimbo.png
4;P70069-406-DW-2054-102;Arquitetura - Elevações e Cortes da Portaria (Rev 3);3;LOCACAO_E_ESTACAS/P70069-406-DW-2054-102_3.pdf;LOCACAO_E_ESTACAS/_carimbos_extraidos/P70069-406-DW-2054-102_3_carimbo.png
