COD_EAP;DESCRICAO_DO_SERVICO;DISCIPLINA;UNIDADE;QUANTIDADE_TOTAL;PRANCHA_REFERENCIA;STATUS
1.3.7.1;Fôrma de Madeira Compensada para Sapatas Isoladas;Infraestrutura e Fundações;m²;35.88;AÇU-3.DES-2.3100-11-EGS-052 rev.A.pdf;LEVANTADO
1.3.7.2;Fôrma de Madeira Compensada para Arranques de Pilares;Infraestrutura e Fundações;m²;25.76;AÇU-3.DES-2.3100-11-EGS-052 rev.A.pdf;LEVANTADO
1.3.8.1;Armação Aço CA-50 em Sapatas e Arranques de Pilares;Infraestrutura e Fundações;kg;401.7;AÇU-3.DES-2.3100-11-EGS-052 rev.A.pdf;LEVANTADO
1.3.9.1;Concreto Usinado C30 para Sapatas Isoladas;Infraestrutura e Fundações;m³;8.55;AÇU-3.DES-2.3100-11-EGS-052 rev.A.pdf;LEVANTADO
1.3.9.2;Concreto Usinado C30 para Arranques de Pilares;Infraestrutura e Fundações;m³;1.86;AÇU-3.DES-2.3100-11-EGS-052 rev.A.pdf;LEVANTADO
