COD_EAP;DESCRICAO_DO_SERVICO;DISCIPLINA;UNIDADE;QUANTIDADE_TOTAL;PRANCHA_REFERENCIA;STATUS
1.4.2;Armadura do pilar P10 — CA-50;Estrutura de concreto armado;kg;16.4583;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.2;Armadura do pilar P11 — CA-50;Estrutura de concreto armado;kg;16.4583;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.2;Armadura do pilar P12 — CA-50;Estrutura de concreto armado;kg;16.4583;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.2;Armadura do pilar P13 — CA-50;Estrutura de concreto armado;kg;16.4583;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.2;Armadura do pilar P14 — CA-50;Estrutura de concreto armado;kg;16.4583;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.2;Armadura do pilar P15 — CA-50;Estrutura de concreto armado;kg;16.4583;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.2;Armadura do pilar P16 — CA-50;Estrutura de concreto armado;kg;16.4583;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.2;Armadura do pilar P17 — CA-50;Estrutura de concreto armado;kg;16.4583;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.2;Armadura do pilar P18 — CA-50;Estrutura de concreto armado;kg;16.4583;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.2;Armadura do pilar P19 — CA-50;Estrutura de concreto armado;kg;16.4583;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.2;Armadura do pilar P20 — CA-50;Estrutura de concreto armado;kg;16.4583;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.2;Armadura do pilar P21 — CA-50;Estrutura de concreto armado;kg;16.4583;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.2;Armadura do pilar P22 — CA-50;Estrutura de concreto armado;kg;16.4583;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.2;Armadura do pilar P23 — CA-50;Estrutura de concreto armado;kg;16.4583;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.2;Armadura do pilar P24 — CA-50;Estrutura de concreto armado;kg;16.4583;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 dos pilares P1 a P24 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.0;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;NAO_LEVANTADO
1.4.3;Concreto C30 do pilar P1 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P2 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P3 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P4 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P5 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P6 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P7 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P8 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P9 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P10 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P11 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P12 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P13 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P14 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P15 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P16 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P17 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P18 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P19 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P20 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P21 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P22 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P23 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.3;Concreto C30 do pilar P24 — seção 30 x 30 cm;Estrutura de concreto armado;m³;0.2682;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.4;Fôrma de vigas V101, V103, V106, V110 e V111 — seção 20 x 50 cm;Estrutura de concreto armado;m²;0.0;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;NAO_LEVANTADO
1.4.4;Fôrma de fundo da viga V101 — seção 20 x 50 cm;Estrutura de concreto armado;m²;2.242;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.4;Fôrma de fundo da viga V103 — seção 20 x 50 cm;Estrutura de concreto armado;m²;2.242;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.4;Fôrma de fundo da viga V106 — seção 20 x 50 cm;Estrutura de concreto armado;m²;2.242;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.4;Fôrma de fundo da viga V110 — seção 20 x 50 cm;Estrutura de concreto armado;m²;5.6;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.4;Fôrma de fundo da viga V111 — seção 20 x 50 cm;Estrutura de concreto armado;m²;5.6;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.4;Fôrma de vigas V109, V112, V113, V114 e V115 — seção 20 x 50 cm;Estrutura de concreto armado;m²;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;NAO_LEVANTADO
1.4.4;Fôrma de fundo da viga V109 — seção 20 x 50 cm;Estrutura de concreto armado;m²;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.4;Fôrma de fundo da viga V112 — seção 20 x 50 cm;Estrutura de concreto armado;m²;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.4;Fôrma de fundo da viga V113 — seção 20 x 50 cm;Estrutura de concreto armado;m²;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.4;Fôrma de fundo da viga V114 — seção 20 x 50 cm;Estrutura de concreto armado;m²;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.4;Fôrma de fundo da viga V115 — seção 20 x 50 cm;Estrutura de concreto armado;m²;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.5;Armadura das vigas V101, V103, V106, V110 e V111 — CA-50;Estrutura de concreto armado;kg;0.0;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;NAO_LEVANTADO
1.4.5;Armadura da viga V101 — CA-50;Estrutura de concreto armado;kg;85.0134;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.5;Armadura da viga V103 — CA-50;Estrutura de concreto armado;kg;85.0134;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.5;Armadura da viga V106 — CA-50;Estrutura de concreto armado;kg;85.9572;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.5;Armadura da viga V110 — CA-50;Estrutura de concreto armado;kg;240.6788;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.5;Armadura da viga V111 — CA-50;Estrutura de concreto armado;kg;247.2117;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
