COD_EAP;DESCRICAO_DO_SERVICO;DISCIPLINA;UNIDADE;QUANTIDADE_TOTAL;CUSTO_UNITARIO_BDI;CUSTO_TOTAL;EMPREITEIRO_VINCULADO;PRANCHA_REFERENCIA;FONTE_PRECO;STATUS
1.1.1;Escavação Manual/Mecanizada de Sapatas e Baldrames;Infraestrutura e Fundações;m³;35.5377;R$ 65,00;R$ 2.309,95;Engenharia;EGS-01;;LEVANTADO
1.1.2;Estacas Escavadas em Concreto Usinado fck 30 MPa (Brocas Ø30cm);Infraestrutura e Fundações;m³;5.0894;R$ 480,00;R$ 2.442,91;Engenharia;EGS-01;;LEVANTADO
1.1.5;Aço CA-50 8.0mm Sapatas Isoladas;Infraestrutura e Fundações;kg;46.926;R$ 58,50;R$ 2.745,17;Engenharia;EGS-02;;LEVANTADO
