COD_DESENHO;TITULO_DESENHO;DISCIPLINA;VERSAO_PROJETO;STATUS_ASBUILT;RESPONSAVEL_LEVANTAMENTO
AÇU-3.DES-2.3100-11-EGS-051;Planta Baixa Arquitetura;Arquitetura;Rev.A;Aguardando Levantamento;Engenharia
AÇU-3.DES-2.3100-11-EGS-052;Cortes e Fachadas;Arquitetura;Rev.A;Aguardando Levantamento;Engenharia
AÇU-3.DES-2.3100-15-EGS-015;Locação e Cargas de Fundações;Fundações;Rev.A;Aguardando Levantamento;Engenharia
AÇU-3.DES-2.3100-15-EGS-016;Formas da Cobertura e Laje;Estrutura;Rev.A;Aguardando Levantamento;Engenharia
AÇU-3.DES-2.3100-16-EGS-013;Instalações Hidrossanitárias;Hidráulica;Rev.0;Bloqueio Retenção 5%;SUB-05
AÇU-3.DES-2.3100-16-EGS-015;Instalações Elétricas e SPDA;Elétrica;Rev.0;Bloqueio Retenção 5%;SUB-06
AÇU-3.DES-2.3100-64-EGS-008;Climatização e Exaustão HVAC;HVAC;Rev.A;Bloqueio Retenção 5%;SUB-06
