Código EAP;Item / Descricao;Disciplina;Qtd Projeto;Unidade Proj;Perda (%);Qtd Comercial UCC;Unidade UCC;Prancha Referencia;Preço Unitário (R$);Custo Total (R$)
2.1.1.1;Bloco Concreto Inteiro B144 (14x19x39cm);Arquitetura;12733.0;unid;5.0;13370;blocos inteiros;AÇU-3.DES-2.3100-15-EGS-015/018;-;-
2.1.1.2;Meio Bloco Concreto B142 (14x19x19cm);Arquitetura;508.0;unid;5.0;534;meios blocos;AÇU-3.DES-2.3100-15-EGS-015/018;-;-
2.1.1.3;Bloco Canaleta Concreto C144 (14x19x39cm);Arquitetura;281.0;unid;5.0;296;blocos canaleta;AÇU-3.DES-2.3100-15-EGS-015/018;-;-
2.1.1.4;Graute Fino Industrializado p/ Canaletas;Arquitetura;1.42;m³;5.0;75;sacos 25kg (1.49 m³);AÇU-3.DES-2.3100-15-EGS-015;-;-
2.1.1.5;Barra de Aço CA-50 Ø8,0mm p/ Vergas/Contravergas;Arquitetura;224.80;m;5.0;20;barras 12m (93.2 kg);AÇU-3.DES-2.3100-15-EGS-015/018;-;-
2.1.1.6;Cimento Portland CP II-E-32 (Argamassa Assentamento);Arquitetura;5519.0;kg;5.0;116;sacos 50kg;AÇU-3.DES-2.3100-15-EGS-015;-;-
2.1.1.7;Cal Hidratada CH-I (Argamassa Assentamento);Arquitetura;1910.0;kg;5.0;101;sacos 20kg;AÇU-3.DES-2.3100-15-EGS-015;-;-
2.1.1.8;Areia Média Lavada (Argamassa Assentamento);Arquitetura;23.35;m³;5.0;24.5;m³;AÇU-3.DES-2.3100-15-EGS-015;-;-
2.1.1.9;Tela Metálica Galvanizada 15x50cm Amarração Pilar;Arquitetura;336.0;unid;5.0;353;telas de amarração;AÇU-3.DES-2.3100-15-EGS-015;-;-
2.1.1.10;Pinos de Aço c/ Arruela p/ Finca-Pinos à Pólvora;Arquitetura;706.0;unid;5.0;8;caixas 100un (742 un);AÇU-3.DES-2.3100-15-EGS-015;-;-
2.1.1.11;Encunhamento Flexível no Topo da Parede (sob vigas);Arquitetura;385.00;m;0.0;385;m;AÇU-3.DES-2.3100-15-EGS-015;-;-
2.1.2;Chapisco Traço 1:3 e=5mm em Paredes;Arquitetura;2122.88;m²;5.0;2229.02;m² (75 sacos cimento);AÇU-3.DES-2.3100-15-EGS-015/016;-;-
2.1.3;Emboço/Reboco Paulista e=20mm em Paredes;Arquitetura;2122.88;m²;5.0;2229.02;m² (446 sacos argamassa);AÇU-3.DES-2.3100-15-EGS-015/016;-;-
