ID;DATA_ABERTURA;PRANCHA;PERGUNTA;CIA_BLOQUEADOS;ITENS_BLOQUEADOS;PRAZO_DIAS_UTEIS;STATUS;DATA_RESPOSTA;RESPOSTA;REVISAO_PRANCHA;DATA_INCORPORACAO
RFI-TMULT-001;2026-09-08;AÇU-3.DES-2.3100-15-EGS-015;Confirmação da cota de assentamento das sapatas S1 a S32 em relação ao nível do terreno natural;CIA-INF-001,CIA-INF-002;Escavação manual e lastro de concreto magro;5;INCORPORADA;2026-09-09;Cota de fundo de cava fixada em -1,40m com lastro de 5cm de concreto magro;Rev.A;2026-09-10
RFI-TMULT-002;2026-09-08;AÇU-3.DES-2.3100-64-EGS-008;Especificação das potências e marcas de referência para evaporadoras split do Edifício Administrativo;CIA-INS-045,CIA-INS-046;Equipamentos nobres HVAC e rede frigorígena;5;INCORPORADA;2026-09-09;Modelos split Hi-Wall Inverter 12.000 a 24.000 BTU/h marcas Daikin/Fujitsu c/ gás R-410A;Rev.A;2026-09-10
