Código EAP;Item / Descrição;Disciplina;Qtd Projeto;Unidade;Preço Unitário (R$);Preço Total Turnkey (R$);% Mês 1;R$ Mês 1;% Mês 2;R$ Mês 2;% Mês 3;R$ Mês 3;% Mês 4;R$ Mês 4;% Mês 5;R$ Mês 5;% Mês 6;R$ Mês 6
1.0.1;Engenheiro Residente (50%) + Mestre de Obras (100%);Administração Local e Canteiro;4.0;mês;R$ 17.803,80;R$ 71.215,20;0.16666666666666666;11869.2;0.16666666666666666;11869.2;0.16666666666666666;11869.2;0.16666666666666666;11869.2;0.16666666666666666;11869.2;0.16666666666666666;11869.2
1.0.2;Locação de Containers NR-18 + Sanitário Químico;Administração Local e Canteiro;4.0;mês;R$ 4.069,44;R$ 16.277,76;0.16666666666666666;2712.96;0.16666666666666666;2712.96;0.16666666666666666;2712.96;0.16666666666666666;2712.96;0.16666666666666666;2712.96;0.16666666666666666;2712.96
1.1.1;Escavação Manual/Mecanizada de Sapatas e Baldrames;Infraestrutura e Fundações;35.5377;m³;R$ 14,28;R$ 507,48;1.0;507.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.1.2;Estacas Escavadas em Concreto Usinado fck 30 MPa (Brocas Ø30cm);Infraestrutura e Fundações;5.0894;m³;R$ 610,42;R$ 3.106,67;1.0;3106.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.1.5;Aço CA-50 8.0mm Sapatas Isoladas;Infraestrutura e Fundações;46.926;kg;R$ 74,39;R$ 3.490,83;1.0;3490.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
